type,total_homogeneous,total_heterogeneous,absolute_difference,percentage_decrease_HO_to_HE_percent
Installed Capacity [MW]: MA_natural_gas_combined_cycle,15017.63543126168,14718.487802121304,299.147629140376,1.9919755710519578
Installed Capacity [MW]: CT_natural_gas_combined_cycle,6857.829575161014,7486.299552642331,-628.4699774813171,-9.164269403218018
Installed Capacity [MW]: CT_onshore_wind,981.7745041087329,200.910299257385,780.864204851348,79.53600359180504
Installed Capacity [MW]: ME_onshore_wind,524.3843206879599,1529.9854569724241,-1005.6011362844642,-191.7679641842032
Installed Capacity [MW]: MA_battery,511.0502138573647,504.1507521554923,6.89946170187244,1.3500555355991095
Installed Capacity [MW]: ME_battery,485.30814760823705,497.4754394030623,-12.167291794825246,-2.507127039756036
Installed Capacity [MW]: Total,24377.98219268499,24937.309302551996,-559.3271098670048,-2.2943946116870984
cTotal,4.640287226087682e9,4.777707625512906e9,-1.374203994252243e8,-2.9614632183250897
cFix,2.0064872819446108e9,2.0443725269963279e9,-3.788524505171704e7,-1.8881378114193732
cVar,3.9402052440274507e8,3.9331896251444376e8,701561.8883013129,0.17805211780902477
cFuel,2.2358188677132306e9,2.3360757002878714e9,-1.0025683257464075e8,-4.484121411730561
cNSE,3.960552027134693e6,3.9404357142857155e6,20116.312848977745,0.5079168941893972
Power [MWh]: MA_natural_gas_combined_cycle,6.965883014184165e7,6.7665965161159e7,1.9928649806826562e6,2.8608935530853983
Power [MWh]: CT_natural_gas_combined_cycle,4.088468349011996e7,4.2628824360362545e7,-1.7441408702425882e6,-4.26600066664102
Power [MWh]: CT_onshore_wind,3.1269501392714186e6,560044.1192891469,2.566906019982272e6,82.08976496761035
Power [MWh]: ME_onshore_wind,2.151393609381114e6,6.532287435135451e6,-4.380893825754337e6,-203.6305121783167
Power [MWh]: MA_battery,376572.33664935135,354795.6278149731,21776.708834378223,5.782875350893287
Power [MWh]: ME_battery,373754.92088168504,329593.3222589425,44161.59862274252,11.815656772776567
Power [MWh]: Total,1.165721846381452e8,1.1807151002602006e8,-1.4993253878748715e6,-1.286177652524028
