,CO2,MinCapReq,UCommit,epsilon,repetition,total_cost,Run_time,Time_Indexes,Build_model_time,write_outputs_time,termination_Status,has_primal,Green-brownfield,Abs_error,Rel_error,Total_cost_brownfield
0,0,1,0,0.001,1,6015416918.226846,82.56158089637756,8760,68.302764526,26.890326991,OPTIMAL,True,HE,0.0,0.0,6015416918.226816
1,0,1,0,0.02559659,1,8152957299.214073,216.12869000434875,8743,315.099736069,24.454984254,OPTIMAL,True,HE,1385392525.388875,23.03069835760032,7400809443.615691
2,0,1,0,0.04404403,1,8152331256.920391,160.1462860107422,8715,255.11412515,26.285504391,OPTIMAL,True,HE,1385674628.4840794,23.03538802581516,7401091546.710896
3,0,1,0,0.08093892,1,8150110932.444953,200.2694630622864,8631,256.554015501,26.140656086,OPTIMAL,True,HE,1386212329.7159805,23.044326745096143,7401629247.942797
4,0,1,0,0.10553551,1,8144701760.604106,137.41261196136475,8537,255.55585189,26.096777443,OPTIMAL,True,HE,1386888740.6828918,23.05557136830525,7402305658.909708
5,0,1,0,0.12398295,1,8142108276.552252,113.57635188102722,8465,247.319771054,27.572124183,OPTIMAL,True,HE,1386897607.4369612,23.055718768796186,7402314525.663777
6,0,1,0,0.1424304,1,8130721542.982175,122.24523210525513,8358,244.647089295,27.423103145,OPTIMAL,True,HE,1381315831.7459068,22.962927599589918,7396732749.972723
7,0,1,0,0.16087784,1,8123778656.433657,160.771625995636,8206,236.789784742,26.079092307,OPTIMAL,True,HE,1379463081.5533142,22.932127569969712,7394879999.78013
8,0,1,0,0.19162358,1,8088168441.995553,111.03396320343018,7946,218.858616689,26.643071464,OPTIMAL,True,HE,1371589759.3673468,22.801241842629498,7387006677.594163
9,0,1,0,0.20281818,1,8085656613.210691,121.76590204238892,7844,216.757259937,26.56718984,OPTIMAL,True,HE,1370045908.7821198,22.775576945146682,7385462827.008936
10,0,1,0,0.23309091,1,8053777173.994781,82.89863801002502,7556,205.687029231,27.61537324,OPTIMAL,True,HE,1359404509.2966232,22.598674834617107,7374821427.523439
11,0,1,0,0.23466761,1,8051871676.341287,113.91265988349916,7525,199.270164089,27.227679733,OPTIMAL,True,HE,1359179114.1483526,22.594927876570228,7374596032.375169
12,0,1,0,0.27345455,1,8021483561.181064,71.5800130367279,6988,172.663540264,27.842307378,OPTIMAL,True,HE,1360546260.8235922,22.617655256797143,7375963179.050408
13,0,1,0,0.27771164,1,8002609199.290966,72.67585802078247,6924,169.24973048,26.556428529,OPTIMAL,True,HE,1347609916.517519,22.4026020945321,7363026834.744335
14,0,1,0,0.29363636,1,7947085122.664823,89.96832919120789,6550,154.498162702,24.868494787,OPTIMAL,True,HE,1335499093.8350916,22.201272363824135,7350916012.061908
15,0,1,0,0.31460653,1,7819749314.746364,130.5673429965973,6106,135.711127528,27.348405477,OPTIMAL,True,HE,1281476535.5807867,21.30320396742395,7296893453.807603
16,0,1,0,0.32390909,1,7787229840.40832,102.7144331932068,5945,126.961380941,26.163253726,OPTIMAL,True,HE,1279253188.9400864,21.26624316036894,7294670107.166903
17,0,1,0,0.334,1,7738751606.735694,74.42119598388672,5697,119.304518695,24.410779729,OPTIMAL,True,HE,1272663986.6831074,21.15670458064035,7288080904.909924
18,0,1,0,0.36427273,1,7494227639.361024,74.96170401573181,4987,94.535813081,24.468734892,OPTIMAL,True,HE,1438608947.3232832,23.91536558279566,7454025865.550099
19,0,1,0,0.38224715,1,7388264583.46325,70.7280969619751,4624,80.451027933,24.802982072,OPTIMAL,True,HE,1534203831.5919123,25.504530316813927,7549620749.818728
20,0,1,0,0.39454545,1,7345680090.954667,90.0247311592102,4362,73.507173071,25.778302436,OPTIMAL,True,HE,1510666387.6729736,25.113244987153404,7526083305.89979
21,0,1,0,0.40463636,1,7237686117.066103,76.19459199905396,4082,64.102670766,24.461873576,OPTIMAL,True,HE,1406644033.885644,23.383982407328883,7422060952.11246
22,0,1,0,0.43490909,1,7058741341.528213,70.93475794792175,3484,51.061583504,25.685049039,OPTIMAL,True,HE,1241177599.5444832,20.633276403231402,7256594517.771299
23,0,1,0,0.47527273,1,6825206925.000056,41.547425985336304,2859,38.248456718,24.644831045,OPTIMAL,True,HE,826244692.9521103,13.735451826266184,6841661611.178926
24,0,1,0,0.50554545,1,6488222675.689524,151.26725697517395,2383,29.722893221,22.761895578,OPTIMAL,True,HE,406401580.86670876,6.756000230595904,6421818499.093525
25,0,1,0,0.53581818,1,6241660596.871306,212.3940830230713,1955,23.441392028,22.175851566,OPTIMAL,True,HE,187720502.7433815,3.120656561219974,6203137420.970198
26,0,1,0,0.56609091,1,6198585089.92811,112.93818092346191,1567,19.599464181,22.836019034,OPTIMAL,True,HE,186904537.78632736,3.1070919992262453,6202321456.013144
27,0,1,0,0.57974331,1,6183428256.296325,50.71609091758728,1438,18.311849147,22.244232143,OPTIMAL,True,HE,182963570.50623703,3.0415775497098845,6198380488.733053
28,0,1,0,0.59636364,1,6165949765.202236,40.22829008102417,1294,17.145035933,23.789827856,OPTIMAL,True,HE,182540581.41284275,3.034545799473045,6197957499.639659
29,0,1,0,0.62663636,1,5939998586.8853655,24.518857955932617,1043,15.117890001,23.472964346,OPTIMAL,True,HE,279542262.2226515,4.647097051172524,6294959180.449468
30,0,1,0,0.65690909,1,5819844565.550735,10.7625470161438,826,13.077821586,22.961447684,OPTIMAL,True,HE,513356476.25938034,8.534013240277684,6528773394.4861965
31,0,1,0,0.68718182,1,5786796941.437495,8.58447813987732,584,12.092147444,23.399772327,OPTIMAL,True,HE,515804963.5821037,8.574716775144976,6531221881.80892
32,0,1,0,0.71745455,1,5657602227.353684,7.671648979187012,451,11.680876045,23.845336335,OPTIMAL,True,HE,830939937.9743223,13.813505352497849,6846356856.2011385
33,0,1,0,0.74772727,1,5626056503.251253,4.12567400932312,338,11.263012773,23.115665697,OPTIMAL,True,HE,840297114.1636429,13.969058597044675,6855714032.390459
34,0,1,0,0.76790909,1,5615391820.386192,4.107486009597778,247,11.083203694,22.866482357,OPTIMAL,True,HE,830182481.0400429,13.80091342504583,6845599399.266859
35,0,1,0,1.0,1,4885659359.411396,1.187554121017456,30,10.925188075,22.781388393,OPTIMAL,True,HE,496943183285.5177,8261.159451471623,502958600203.7445
