,number_rep_period,time_rep_period,ExtremePeriod,total_cost,Run_time,Time_Indexes,Build_model_time,write_outputs_time,termination_Status,has_primal,Green-brownfield,Abs_error,Rel_error,Total_cost_brownfield
0,8,48,1,5620981271.419127,0.4827859401702881,384,0.401922837,0.507251138,termination_status,True,TDR,354971273.714695,5.901025291183435,6370388191.941568
2,40,48,1,5807081510.311652,2.411752939224243,1920,3.257648427,1.529325311,termination_status,True,TDR,500621169.5917835,8.322302117994317,6516038087.818657
4,80,48,1,6014177080.473355,6.155272006988525,3840,12.726593803,2.415479863,termination_status,True,TDR,63778.32183456421,0.001060247738462054,6015480696.548708
6,182,48,1,6013598447.316097,15.304755926132202,8736,54.067559557,5.595032459,termination_status,True,TDR,5649.0213232040405,9.390905734376209e-05,6015422567.248197
8,8,168,1,5848915296.279584,1.6045629978179932,1344,1.756266064,1.266467987,termination_status,True,TDR,340784939.5228958,5.66519235749576,6356201857.749769
10,12,168,1,5811055192.832295,2.634086847305298,2016,3.555093601,1.224923727,termination_status,True,TDR,410613527.0456295,6.826019420224383,6426030445.272503
12,24,168,1,6009357086.680805,5.802288055419922,4032,12.309426219,2.758135722,termination_status,True,TDR,145572.69793987274,0.002419993492035167,6015562490.924813
14,36,168,1,6029256032.362317,9.619737148284912,6048,25.869984872,3.947622223,termination_status,True,TDR,26178.835112571716,0.00043519568915080764,6015443097.061986
16,48,168,1,6016721727.554533,12.819609880447388,8064,44.112454469,5.713253986,termination_status,True,TDR,2469.5187911987305,4.1053160982342265e-05,6015419387.745665
18,4,672,1,5731469870.581199,4.504863977432251,2688,5.889165664,2.36024847,termination_status,True,TDR,435103060.6769066,7.2331322432287735,6450519978.90378
20,8,672,1,5874776999.908794,10.52000093460083,5376,20.195848445,3.660261256,termination_status,True,TDR,364288596.36080647,6.055916012354893,6379705514.58768
22,12,672,1,6005904279.20865,14.080185174942017,8064,44.226688309,5.510420997,termination_status,True,TDR,41078.591857910156,0.0006828885248741601,6015457996.818731
