Resource,Zone,THERM,FUSION,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Resource_Type,region,cluster,region.1
natural_gas,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,1909198.864,0,0,552000,0,0,1.61,0,6.196,NG,1,0,111.334375,0,0,1,1,1,0.25,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas,NE,1,NE
natural_gas_ccs,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,2799534.523,0,0,897000,0,0,3.32,0,7.007,NGCCS,1,0,73.80969101,0,0,1,1,1,0.5,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas_ccs,NE,1,NE
solar_pv,1,0,0,0,0,0,0,1,0,1,1,0,0,0,22000,-1,-1,0,0,0,1098265.561,0,0,299000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,solar_pv,NE,1,NE
onshore_wind,1,0,0,0,0,0,0,1,0,1,1,0,0,0,9000,-1,-1,0,0,0,1590252.707,0,0,529000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,onshore_wind,NE,1,NE
fixed_offshore_wind,1,0,0,0,0,0,0,1,0,1,1,0,0,0,37000,-1,-1,0,0,0,4523828.83,0,0,1633000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,fixed_offshore_wind,NE,1,NE
float_offshore_wind,1,0,0,0,0,0,0,1,0,1,1,0,0,0,275000,-1,-1,0,0,0,7317498.406,0,0,1403000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,floating_offshore_wind,NE,1,NE
battery,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,609796.9645,356121.4315,0,161000,80500,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.92,0.92,1,1000,0,0,1,0.083333333,0.166666667,battery,NE,1,NE
ror_hydro,1,0,0,1,0,0,0,0,0,0,-1,1960.5,0,0,-1,-1,-1,0,0,0,6795651.831,0,0,430100,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,ror_hydro,NE,1,NE
pumped_hydro,1,0,0,0,1,0,0,0,0,0,-1,1830,21960,0,-1,-1,-1,0,0,0,10453950.16,0,0,1081000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,pumped_hydro,NE,1,NE
nuclear,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,10628249.13,0,0,3496000,0,0,2,0,10.45,nuclear,1000,0,0,0,0,1,1,1,0.5,0,1,1,0,0,0,0,1,0.020833333,0.041666667,nuclear,NE,1,NE
